Rk,Coach,Yrs,From,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%.1,AvRk,BstRk,Chmp,SBwl,Conf
64,Jimmy Johnson+,9,1989,1999,144,80,64,0,0.556,16,6.0,13.0,9.0,4.0,0.692,2.7,1,2.0,2.0,2.0
65,Blanton Collier,8,1963,1970,112,76,34,2,0.691,42,5.0,7.0,3.0,4.0,0.429,1.4,1,1.0,0.0,0.0
66,Forrest Gregg+,11,1975,1987,161,75,85,1,0.469,-10,2.0,4.0,2.0,2.0,0.5,2.8,1,0.0,0.0,1.0
67,John Robinson,9,1983,1991,143,75,68,0,0.524,7,6.0,10.0,4.0,6.0,0.4,2.3,1,,,
68,Bobby Ross,9,1992,2000,137,74,63,0,0.54,11,5.0,8.0,3.0,5.0,0.375,2.8,1,0.0,0.0,1.0
69,Sean McDermott,7,2017,2023,114,73,41,0,0.64,32,6.0,11.0,5.0,6.0,0.455,1.6,1,0.0,0.0,0.0
70,Steve Mariucci,9,1997,2005,139,72,67,0,0.518,5,4.0,7.0,3.0,4.0,0.429,2.7,1,0.0,0.0,0.0
71,Mike Zimmer,8,2014,2021,129,72,56,1,0.562,16,3.0,5.0,2.0,3.0,0.4,2.1,1,0.0,0.0,0.0
72,Sean McVay,7,2017,2023,115,70,45,0,0.609,25,5.0,11.0,7.0,4.0,0.636,1.9,1,1.0,1.0,2.0
73,Dick Nolan,11,1968,1980,156,69,82,5,0.457,-13,3.0,5.0,2.0,3.0,0.4,2.4,1,0.0,0.0,0.0
74,George Wilson,12,1957,1969,160,68,84,8,0.447,-16,1.0,2.0,2.0,0.0,1.0,3.3,1,1.0,0.0,0.0
75,Wayne Fontes,9,1988,1996,133,66,67,0,0.496,-1,4.0,5.0,1.0,4.0,0.2,3.0,1,0.0,0.0,0.0
76,Mike Smith,7,2008,2014,112,66,46,0,0.589,20,4.0,5.0,1.0,4.0,0.2,2.0,1,0.0,0.0,0.0
77,Norm Van Brocklin+,13,1961,1974,173,66,100,7,0.398,-34,0.0,0.0,0.0,0.0,,3.9,2,0.0,0.0,0.0
78,Potsy Clark,10,1931,1940,118,64,42,12,0.604,22,1.0,1.0,1.0,0.0,1.0,2.6,1,1.0,0.0,0.0
79,Wally Lemm,10,1961,1970,135,64,64,7,0.5,0,3.0,3.0,1.0,2.0,0.333,3.0,1,1.0,0.0,0.0
80,Kyle Shanahan,7,2017,2023,115,64,51,0,0.557,13,4.0,12.0,8.0,4.0,0.667,2.4,1,0.0,0.0,2.0
81,Greasy Neale+,10,1941,1950,111,63,43,5,0.594,20,3.0,4.0,3.0,1.0,0.75,2.4,1,2.0,0.0,0.0
82,Jim Caldwell,7,2009,2017,112,62,50,0,0.554,12,4.0,6.0,2.0,4.0,0.333,2.1,1,0.0,0.0,1.0
83,Rex Ryan,8,2009,2016,127,61,66,0,0.48,-5,2.0,6.0,4.0,2.0,0.667,2.6,2,0.0,0.0,0.0
84,Jerry Glanville,9,1985,1993,129,60,69,0,0.465,-9,4.0,7.0,3.0,4.0,0.429,3.0,2,0.0,0.0,0.0
85,Dick Jauron,10,1999,2009,142,60,82,0,0.423,-22,1.0,1.0,0.0,1.0,0.0,3.3,1,0.0,0.0,0.0
86,Doug Pederson,7,2016,2023,114,60,53,1,0.531,7,4.0,8.0,5.0,3.0,0.625,2.1,1,1.0,1.0,1.0
87,Guy Chamberlin+,6,1922,1927,81,58,16,7,0.784,42,0.0,0.0,0.0,0.0,,3.2,1,4.0,0.0,0.0
88,Jim Fassel,7,1997,2003,112,58,53,1,0.522,5,3.0,5.0,2.0,3.0,0.4,2.4,1,0.0,0.0,1.0
89,Joe Kuharich,11,1952,1968,142,58,81,3,0.417,-23,0.0,0.0,0.0,0.0,,3.5,2,0.0,0.0,0.0
90,Allie Sherman,8,1961,1968,112,57,51,4,0.528,6,3.0,3.0,0.0,3.0,0.0,3.0,1,,,
91,Mike Sherman,6,2000,2005,96,57,39,0,0.594,18,4.0,6.0,2.0,4.0,0.333,2.0,1,,,
92,Matt LaFleur,5,2019,2023,83,56,27,0,0.675,29,4.0,7.0,3.0,4.0,0.429,1.6,1,0.0,0.0,0.0
93,Art Shell+,7,1989,2006,108,56,52,0,0.519,4,3.0,5.0,2.0,3.0,0.4,2.9,1,,,
94,Buddy Ryan,7,1986,1995,111,55,55,1,0.5,0,3.0,3.0,0.0,3.0,0.0,3.0,1,0.0,0.0,0.0
