Rk,Coach,Yrs,From,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%.1,AvRk,BstRk,Chmp,SBwl,Conf
407,Les Steckel,1,1984,1984,16,3,13,0,0.188,-10,0.0,0.0,0.0,0.0,,5.0,5,,,
408,Pete Stinchcomb,1,1923,1923,7,3,3,1,0.5,0,0.0,0.0,0.0,0.0,,8.0,8,0.0,0.0,0.0
409,John Whelchel,1,1949,1949,7,3,3,1,0.5,0,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
410,Darrell Bevell,2,2020,2021,9,2,7,0,0.222,-5,,,,,,4.0,4,0.0,0.0,0.0
411,Pat Boland,1,1946,1946,6,2,3,1,0.4,-1,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
412,Johnny Bryan,2,1925,1926,15,2,13,0,0.133,-11,0.0,0.0,0.0,0.0,,15.5,15,0.0,0.0,0.0
413,Eddie Casey,1,1935,1935,11,2,8,1,0.2,-6,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
414,Pete Cawthon,2,1943,1944,15,2,13,0,0.133,-11,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
415,Jack Chevigny,1,1932,1932,10,2,6,2,0.25,-4,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
416,Al Cornsweet,1,1931,1931,10,2,8,0,0.2,-6,0.0,0.0,0.0,0.0,,8.0,8,0.0,0.0,0.0
417,Luby DiMeolo,1,1934,1934,12,2,10,0,0.167,-8,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
418,Bob Dove,1,1946,1946,5,2,2,1,0.5,0,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
419,Chuck Drulis,1,1961,1961,2,2,0,0,1.0,2,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
420,Marty Feldman,2,1961,1962,17,2,15,0,0.118,-13,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
421,Budge Garrett,1,1922,1922,6,2,1,3,0.667,1,0.0,0.0,0.0,0.0,,11.0,11,0.0,0.0,0.0
422,Hank Gillo,1,1920,1920,7,2,5,0,0.286,-3,0.0,0.0,0.0,0.0,,11.0,11,0.0,0.0,0.0
423,Hal Hanson,1,1932,1932,12,2,7,3,0.222,-5,0.0,0.0,0.0,0.0,,8.0,8,0.0,0.0,0.0
424,Mel Hein+,1,1947,1947,3,2,1,0,0.667,1,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
425,Harvey Johnson,2,1968,1971,26,2,23,1,0.08,-21,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
426,Aaron Kromer,1,2012,2012,6,2,4,0,0.333,-2,0.0,0.0,0.0,0.0,,3.0,3,,,
427,Jim Leonard,1,1945,1945,10,2,8,0,0.2,-6,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
428,Ned Mathews,1,1946,1946,5,2,2,1,0.5,0,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
429,Harry Mehre,1,1923,1923,9,2,5,2,0.286,-3,0.0,0.0,0.0,0.0,,13.0,13,0.0,0.0,0.0
430,Urban Meyer,1,2021,2021,13,2,11,0,0.154,-9,,,,,,4.0,4,,,
431,Wayne Millner+,1,1951,1951,10,2,8,0,0.2,-6,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
432,Charley Moran,1,1927,1927,8,2,5,1,0.286,-3,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
433,Al Pierotti,1,1920,1920,5,2,2,1,0.5,0,0.0,0.0,0.0,0.0,,10.0,10,0.0,0.0,0.0
434,Ray Prochaska,1,1961,1961,2,2,0,0,1.0,2,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
435,Terry Robiskie,2,2000,2004,8,2,6,0,0.25,-4,0.0,0.0,0.0,0.0,,3.5,3,,,
436,Ted Shipkey,1,1947,1947,3,2,1,0,0.667,1,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
437,Herb Sies,1,1923,1923,8,2,3,3,0.4,-1,0.0,0.0,0.0,0.0,,12.0,12,0.0,0.0,0.0
438,Jerry Smith,1,1971,1971,5,2,3,0,0.4,-1,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
439,Chuck Studley,1,1983,1983,10,2,8,0,0.2,-6,0.0,0.0,0.0,0.0,,4.0,4,,,
440,Gus Tebell,1,1923,1923,3,2,1,0,0.667,1,0.0,0.0,0.0,0.0,,8.0,8,0.0,0.0,0.0
441,Joe Thomas,1,1974,1974,11,2,9,0,0.182,-7,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
442,Mel Tucker,1,2011,2011,5,2,3,0,0.4,-1,0.0,0.0,0.0,0.0,,3.0,3,,,
443,Rick Venturi,2,1991,1996,19,2,17,0,0.105,-15,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
444,Carl Voyles,1,1948,1948,14,2,12,0,0.143,-10,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
445,Willie Wilkin,1,1946,1946,5,2,2,1,0.5,0,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
446,Ray Willsey,1,1961,1961,2,2,0,0,1.0,2,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
447,Larry Wilson+,1,1979,1979,3,2,1,0,0.667,1,0.0,0.0,0.0,0.0,,5.0,5,,,
448,Hoge Workman,1,1931,1931,10,2,8,0,0.2,-6,0.0,0.0,0.0,0.0,,8.0,8,0.0,0.0,0.0
449,Shorty Barr,1,1926,1926,3,1,2,0,0.333,-1,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
450,Tom Bettis,1,1977,1977,7,1,6,0,0.143,-5,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
451,Hugo Bezdek,2,1937,1938,14,1,13,0,0.071,-12,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
452,Fred Bruney,1,1985,1985,1,1,0,0,1.0,1,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
453,Cam Cameron,1,2007,2007,16,1,15,0,0.063,-14,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
454,Bill Conkright,1,1962,1962,9,1,8,0,0.111,-7,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
455,Mel Doherty,1,1921,1921,4,1,3,0,0.25,-2,0.0,0.0,0.0,0.0,,13.0,13,0.0,0.0,0.0
456,Walt Driskill,1,1949,1949,8,1,7,0,0.125,-6,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
457,Charley Ewart,1,1949,1949,12,1,10,1,0.091,-9,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
458,Jack Fish,1,1930,1930,9,1,7,1,0.125,-6,0.0,0.0,0.0,0.0,,11.0,11,0.0,0.0,0.0
459,Fred Gillies,1,1928,1928,6,1,5,0,0.167,-4,0.0,0.0,0.0,0.0,,9.0,9,0.0,0.0,0.0
460,Hinkey Haines,1,1931,1931,4,1,3,0,0.25,-2,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
461,Dick Hanley,1,1946,1946,3,1,1,1,0.5,0,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
462,Ernie Hefferle,1,1975,1975,8,1,7,0,0.125,-6,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
463,Jack Hegarty,1,1921,1921,3,1,2,0,0.333,-1,0.0,0.0,0.0,0.0,,12.0,12,0.0,0.0,0.0
464,Jack Heldt,1,1926,1926,7,1,6,0,0.143,-5,0.0,0.0,0.0,0.0,,19.0,19,0.0,0.0,0.0
465,Max Hicks,1,1921,1921,5,1,3,1,0.25,-2,0.0,0.0,0.0,0.0,,13.0,13,0.0,0.0,0.0
466,Herb Joesting,1,1929,1929,10,1,9,0,0.1,-8,0.0,0.0,0.0,0.0,,11.0,11,0.0,0.0,0.0
467,Al Jolley,2,1929,1933,12,1,10,1,0.091,-9,0.0,0.0,0.0,0.0,,7.0,4,0.0,0.0,0.0
468,Walt Koppisch,1,1925,1925,9,1,6,2,0.143,-5,0.0,0.0,0.0,0.0,,15.0,15,0.0,0.0,0.0
469,Ollie Kraehe,1,1923,1923,7,1,4,2,0.2,-3,0.0,0.0,0.0,0.0,,14.0,14,0.0,0.0,0.0
470,Lou Mahrt,1,1927,1927,8,1,6,1,0.143,-5,0.0,0.0,0.0,0.0,,10.0,10,0.0,0.0,0.0
471,Pete McCulley,1,1978,1978,9,1,8,0,0.111,-7,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
472,Ed McKeever,1,1948,1948,14,1,13,0,0.071,-12,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
473,Ray McLean,2,1953,1958,14,1,12,1,0.077,-11,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
474,Jack Meagher,1,1946,1946,6,1,5,0,0.167,-4,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
475,Frank Nied,1,1926,1926,6,1,3,2,0.25,-2,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
476,Fred O'Connor,1,1978,1978,7,1,6,0,0.143,-5,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
477,Bill Peterson,2,1972,1973,19,1,18,0,0.053,-17,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
478,Jerry Rosburg,1,2022,2022,2,1,1,0,0.5,0,,,,,,4.0,4,,,
479,Rod Rust,1,1990,1990,16,1,15,0,0.063,-14,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
480,Andy Salata,1,1930,1930,9,1,7,1,0.125,-6,0.0,0.0,0.0,0.0,,11.0,11,0.0,0.0,0.0
481,Jeff Saturday,1,2022,2022,8,1,7,0,0.125,-6,,,,,,3.0,3,0.0,0.0,0.0
482,Tom Scott,1,1946,1946,1,1,0,0,1.0,1,0.0,0.0,0.0,0.0,,2.0,2,0.0,0.0,0.0
483,Ken Shipp,1,1975,1975,5,1,4,0,0.2,-3,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
484,Jim Shofner,1,1990,1990,7,1,6,0,0.143,-5,0.0,0.0,0.0,0.0,,4.0,4,,,
485,Dick Stanfel+,1,1980,1980,4,1,3,0,0.25,-2,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
486,Mal Stevens,1,1946,1946,7,1,4,1,0.2,-3,0.0,0.0,0.0,0.0,,2.0,2,0.0,0.0,0.0
487,Eric Studesville,1,2010,2010,4,1,3,0,0.25,-2,0.0,0.0,0.0,0.0,,4.0,4,,,
488,Chris Tabor,1,2023,2023,6,1,5,0,0.167,-4,,,,,,4.0,4,,,
489,Emmitt Thomas+,1,2007,2007,3,1,2,0,0.333,-1,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
490,Russell Tollefson,1,1922,1922,4,1,3,0,0.25,-2,0.0,0.0,0.0,0.0,,13.0,13,0.0,0.0,0.0
491,Ron Waller,1,1973,1973,6,1,5,0,0.167,-4,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
492,Chile Walsh,1,1934,1934,3,1,2,0,0.333,-1,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
493,Hubert Wiggs,1,1922,1922,4,1,3,0,0.25,-2,0.0,0.0,0.0,0.0,,13.0,13,0.0,0.0,0.0
494,Doc Young,2,1925,1926,8,1,7,0,0.125,-6,0.0,0.0,0.0,0.0,,17.5,14,0.0,0.0,0.0
495,Fay Abbott,2,1928,1929,13,0,13,0,0.0,-13,0.0,0.0,0.0,0.0,,11.0,10,0.0,0.0,0.0
496,Dim Batterson,1,1927,1927,5,0,5,0,0.0,-5,0.0,0.0,0.0,0.0,,12.0,12,0.0,0.0,0.0
497,Joe Brandy,1,1924,1924,6,0,6,0,0.0,-6,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
498,Charlie Brickley,1,1921,1921,2,0,2,0,0.0,-2,0.0,0.0,0.0,0.0,,18.0,18,0.0,0.0,0.0
499,Frank Bridges,1,1944,1944,5,0,5,0,0.0,-5,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
500,Coonie Checkaye,1,1921,1921,2,0,2,0,0.0,-2,0.0,0.0,0.0,0.0,,18.0,18,0.0,0.0,0.0
501,Algy Clark,1,1934,1934,8,0,8,0,0.0,-8,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
502,Stan Cofall,1,1920,1920,3,0,2,1,0.0,-2,0.0,0.0,0.0,0.0,,10.0,10,0.0,0.0,0.0
503,Frank Coughlin,1,1921,1921,2,0,1,1,0.0,-1,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
504,Jim Crowley,1,1947,1947,10,0,10,0,0.0,-10,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
505,Herb Dell,1,1922,1922,8,0,8,0,0.0,-8,0.0,0.0,0.0,0.0,,15.0,15,0.0,0.0,0.0
506,John Fassel,1,2016,2016,3,0,3,0,0.0,-3,,,,,,3.0,3,0.0,0.0,0.0
507,Tex Grigg,1,1925,1925,7,0,6,1,0.0,-6,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
508,Bo Hanley,1,1924,1924,5,0,4,1,0.0,-4,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
509,Dutch Hendrian,1,1923,1923,5,0,5,0,0.0,-5,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
510,Austin Higgins,1,1921,1921,2,0,2,0,0.0,-2,0.0,0.0,0.0,0.0,,18.0,18,0.0,0.0,0.0
511,Ken Huffine,1,1920,1920,1,0,1,0,0.0,-1,0.0,0.0,0.0,0.0,,14.0,14,0.0,0.0,0.0
512,Hal Hunter,1,1984,1984,1,0,1,0,0.0,-1,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
513,Bull Karcis,1,1942,1942,8,0,8,0,0.0,-8,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
514,Ed Kubale,1,1944,1944,5,0,5,0,0.0,-5,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
515,Hank Kuhlmann,1,1989,1989,5,0,5,0,0.0,-5,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
516,Leo Lyons,2,1923,1924,7,0,7,0,0.0,-7,0.0,0.0,0.0,0.0,,17.5,16,0.0,0.0,0.0
517,Alfred McGall,1,1930,1930,3,0,3,0,0.0,-3,0.0,0.0,0.0,0.0,,11.0,11,0.0,0.0,0.0
518,Wally McIlwain,1,1926,1926,2,0,2,0,0.0,-2,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
519,Dick Modzelewski,1,1977,1977,1,0,1,0,0.0,-1,0.0,0.0,0.0,0.0,,4.0,4,,,
520,Johnny Murphy,1,1924,1924,4,0,4,0,0.0,-4,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
521,Al Nesser,1,1926,1926,2,0,1,1,0.0,-1,0.0,0.0,0.0,0.0,,16.0,16,0.0,0.0,0.0
522,Tam Rose,1,1921,1921,1,0,1,0,0.0,-1,0.0,0.0,0.0,0.0,,18.0,18,0.0,0.0,0.0
523,Lenny Sachs,1,1926,1926,4,0,4,0,0.0,-4,0.0,0.0,0.0,0.0,,21.0,21,0.0,0.0,0.0
524,Giff Smith,1,2023,2023,3,0,3,0,0.0,-3,,,,,,4.0,4,,,
